"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test End to End Enrollment Flow on all portal
    ","48100","test_enrollment_appears_on_all_portal","testcases.e2e","Mon Sep 29 08:32:53 UTC 2025","passed","Mon Sep 29 08:33:41 UTC 2025","","test_enrollment_flow","",""
"","45683","test_newly_added_course_appears_in_inprogress_on_save_and_exit[trainer]","testcases.training_partner.courses","Mon Sep 29 08:37:12 UTC 2025","passed","Mon Sep 29 08:37:58 UTC 2025","","test_add_new_course","",""
"","11261","test_login_with_valid_credentials[learner]","testcases.authentication","Mon Sep 29 08:28:43 UTC 2025","passed","Mon Sep 29 08:28:55 UTC 2025","","test_login","",""
"","5462","test_login_with_invalid_email[admin]","testcases.authentication","Mon Sep 29 08:29:44 UTC 2025","passed","Mon Sep 29 08:29:50 UTC 2025","","test_login","",""
"","7053","test_login_with_valid_credentials[admin]","testcases.authentication","Mon Sep 29 08:29:15 UTC 2025","passed","Mon Sep 29 08:29:22 UTC 2025","","test_login","",""
"","53072","test_inquiry_by_learner_appears_in_inquired_courses[learner]","testcases.learner","Mon Sep 29 08:36:16 UTC 2025","passed","Mon Sep 29 08:37:09 UTC 2025","","test_inquiry","",""
"Add New TP By Admin","3100","test_add_new_tp","testcases.admin.training_partners.add_new_tp","Mon Sep 29 08:26:49 UTC 2025","passed","Mon Sep 29 08:26:53 UTC 2025","","test_add_new_tp","",""
"","51230","test_new_offering_appears_in_existing_course[trainer]","testcases.training_partner.courses","Mon Sep 29 08:39:18 UTC 2025","passed","Mon Sep 29 08:40:09 UTC 2025","","test_add_new_offering","",""
"","38104","test_learner_bookmarked_courses_count[learner]","testcases.learner","Mon Sep 29 08:35:08 UTC 2025","passed","Mon Sep 29 08:35:46 UTC 2025","","test_bookmarked_courses","",""
"","41719","test_tp_status_count","testcases.admin.training_partners","Mon Sep 29 08:27:27 UTC 2025","passed","Mon Sep 29 08:28:09 UTC 2025","","test_status_count","",""
"","20308","test_course_appears_in_bookmark_section_after_saving[learner]","testcases.learner","Mon Sep 29 08:35:50 UTC 2025","passed","Mon Sep 29 08:36:10 UTC 2025","","test_bookmarked_courses","",""
"","32301","test_tp_added_by_admin_appears_with_claim_option","testcases.e2e","Mon Sep 29 08:30:30 UTC 2025","passed","Mon Sep 29 08:31:02 UTC 2025","","test_claim_profile","",""
"","4865","test_login_with_invalid_email[learner]","testcases.authentication","Mon Sep 29 08:29:26 UTC 2025","passed","Mon Sep 29 08:29:31 UTC 2025","","test_login","",""
"Verify that submitting claim profile form moves TP to claimed accounts section","55926","test_claim_profile_moves_tp_to_claimed_section","testcases.e2e","Mon Sep 29 08:31:53 UTC 2025","passed","Mon Sep 29 08:32:49 UTC 2025","","test_claim_profile","",""
"
    LEARNER : Send and Verify Inquiry msg
    ","80955","test_inquiry_appears_on_all_portals","testcases.e2e","Mon Sep 29 08:33:44 UTC 2025","passed","Mon Sep 29 08:35:05 UTC 2025","","test_inquiry_flow","",""
"","16040","test_change_course_status_from_under_review_to_approved[admin]","testcases.admin.courses","Mon Sep 29 08:25:49 UTC 2025","passed","Mon Sep 29 08:26:05 UTC 2025","","test_change_course_status","",""
"","4657","test_login_with_invalid_email[trainer]","testcases.authentication","Mon Sep 29 08:29:35 UTC 2025","passed","Mon Sep 29 08:29:40 UTC 2025","","test_login","",""
"","74009","test_new_course_with_offering_appears_in_under_review_after_submission[trainer]","testcases.training_partner.courses","Mon Sep 29 08:38:01 UTC 2025","passed","Mon Sep 29 08:39:15 UTC 2025","","test_add_new_course","",""
"","8581","test_login_with_valid_credentials[trainer]","testcases.authentication","Mon Sep 29 08:29:01 UTC 2025","passed","Mon Sep 29 08:29:10 UTC 2025","","test_login","",""
